locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
baltimore marylanddirector of engineering,baltimore maryland,director of engineering,baltimore maryland,director of engineering,baltimore maryland,director of engineering,baltimore maryland,director of engineering,174386,151696,165570,,,22-Feb-23,,,,163884
cambridge massachusettsinformation technology manager,cambridge massachusetts,information technology manager,cambridge massachusetts,information technology manager,cambridge massachusetts,information technology manager,cambridge massachusetts,information technology manager,122660,138000,230975,,,31-May-22,,,,163878.3333
puerto ricovice president of engineering,puerto rico,vice president of engineering,puerto rico,vice president of engineering,puerto rico,vice president of engineering,puerto rico,vice president of engineering,201265,149125,141084,,,31-Mar-23,,,,163824.6667
aurora coloradodirector of engineering,aurora colorado,director of engineering,aurora colorado,director of engineering,,,aurora colorado,director of engineering,110705,,216901,,,,,,,163803
los angeles californiaprincipal senior data scientist,los angeles california,principal senior data scientist,los angeles california,principal senior data scientist,,,los angeles california,principal senior data scientist,160879,,166707,,,,,,,163793
raleigh north carolinadirector of engineering,raleigh north carolina,director of engineering,raleigh north carolina,director of engineering,raleigh north carolina,director of engineering,raleigh north carolina,director of engineering,185176,147108,159062,,,1-Mar-23,,,,163782
phoenix arizonasenior engineering manager,phoenix arizona,senior engineering manager,phoenix arizona,senior engineering manager,phoenix arizona,senior engineering manager,phoenix arizona,senior engineering manager,163024,123272,204865,,1-Jun-23,14-Apr-23,,With two date,With two date,163720.3333
north dakotadirector of engineering,north dakota,director of engineering,north dakota,director of engineering,,,north dakota,director of engineering,170497,,156920,,,1-Feb-23,,,,163708.5
philadelphia pennsylvaniaprincipal senior engineer,philadelphia pennsylvania,principal senior engineer,philadelphia pennsylvania,principal senior engineer,philadelphia pennsylvania,principal senior engineer,philadelphia pennsylvania,principal senior engineer,168245,157962,164856,,,,,,,163687.6667
san antonio texasdirector of engineering,san antonio texas,director of engineering,san antonio texas,director of engineering,san antonio texas,director of engineering,san antonio texas,director of engineering,183051,132500,175459,,,5-Mar-23,,,With two date,163670
marylandsoftware architect,maryland,software architect,maryland,software architect,,,maryland,software architect,136702,,190580,,,,,,,163641
minneapolis minnesotadirector of software engineering,minneapolis minnesota,director of software engineering,minneapolis minnesota,director of software engineering,minneapolis minnesota,director of software engineering,,,178879,148320,,,,,,,,163599.5
provo utahsenior engineer,provo utah,senior engineer,provo utah,senior engineer,provo utah,senior engineer,provo utah,senior engineer,231869,160000,98904,,,,,,,163591
vancouver washingtonchief technology officer,vancouver washington,chief technology officer,vancouver washington,chief technology officer,,,vancouver washington,chief technology officer,198065,,129095,,,,,,,163580
boulder coloradosenior engineering manager,boulder colorado,senior engineering manager,boulder colorado,senior engineering manager,boulder colorado,senior engineering manager,boulder colorado,senior engineering manager,180443,179010,131173,,,,,,,163542
denver coloradoios developer,denver colorado,ios developer,denver colorado,ios developer,denver colorado,ios developer,denver colorado,ios developer,102248,,224802,,,26-Apr-23,,,With two date,163525
edmonton abchief technology officer,edmonton ab,chief technology officer,edmonton ab,chief technology officer,,,edmonton ab,chief technology officer,135105,,191846,,,,,,,163475.5
californiasenior software engineer,california,senior software engineer,california,senior software engineer,,,california,senior software engineer,166017,,160842,,,13-Jun-23,,,,163429.5
chicago illinoisengineer manager,chicago illinois,engineer manager,chicago illinois,engineer manager,chicago illinois,engineer manager,chicago illinois,engineer manager,178290,163000,148967,,,24-May-23,,,,163419
minneapolis minnesotaengineer manager,minneapolis minnesota,engineer manager,minneapolis minnesota,engineer manager,minneapolis minnesota,engineer manager,minneapolis minnesota,engineer manager,155351,199233,135647,,,6-Jan-23,,,,163410.3333
palo alto californiasoftware manager,palo alto california,software manager,palo alto california,software manager,palo alto california,software manager,palo alto california,software manager,133766,171168,185261,,,19-Nov-21,,,,163398.3333
nashville tennesseeengineer manager,nashville tennessee,engineer manager,nashville tennessee,engineer manager,nashville tennessee,engineer manager,nashville tennessee,engineer manager,165521,158545,165972,,,,,,With two date,163346
san francisco californiasenior data scientist,san francisco california,senior data scientist,san francisco california,senior data scientist,san francisco california,senior data scientist,san francisco california,senior data scientist,171002,151511,167523,,,,,,,163345.3333
californiadata scientist,california,data scientist,california,data scientist,,,california,data scientist,125199,,201411,,,15-Jun-23,,,,163305
mississippidirector of engineering,mississippi,director of engineering,mississippi,director of engineering,,,mississippi,director of engineering,232136,,94306,,,23-Apr-23,,,,163221
seattle washingtonsenior software engineer,seattle washington,senior software engineer,seattle washington,senior software engineer,seattle washington,senior software engineer,seattle washington,senior software engineer,172730,156123,160787,,,15-Jun-23,,,,163213.3333
tennesseeengineer manager,tennessee,engineer manager,tennessee,engineer manager,,,tennessee,engineer manager,130337,,196001,,,6-Mar-23,,,,163169
hillsboro oregonsenior engineer,hillsboro oregon,senior engineer,hillsboro oregon,senior engineer,hillsboro oregon,senior engineer,hillsboro oregon,senior engineer,216143,130000,143329,,,,,,,163157.3333
los angeles californiasoftware engineering manager,los angeles california,software engineering manager,los angeles california,software engineering manager,los angeles california,software engineering manager,los angeles california,software engineering manager,165401,160000,163989,,,17-May-23,,,,163130
dayton ohiochief operating officer,dayton ohio,chief operating officer,dayton ohio,chief operating officer,dayton ohio,chief operating officer,dayton ohio,chief operating officer,192286,196527,100540,,,,,,,163117.6667
fort worth texassenior engineer,fort worth texas,senior engineer,fort worth texas,senior engineer,fort worth texas,senior engineer,fort worth texas,senior engineer,202765,111914,174659,,,,,,,163112.6667
chicago illinoisprincipal engineer manager,chicago illinois,principal engineer manager,chicago illinois,principal engineer manager,chicago illinois,principal engineer manager,chicago illinois,principal engineer manager,159588,148050,181660,,,13-Mar-23,,,,163099.3333
